School,Common name,Nickname,City,State,Type,Subdivision,Primary
New Jersey Institute of Technology,NJIT,Highlanders,Newark,NJ,Public,Non-football,America East Conference
State University of New York at Binghamton[N 14],Binghamton,Bearcats,Binghamton[L 17],NY,Public,Non-football,America East Conference
The University of Vermont and State Agricultural College,Vermont,Catamounts,Burlington,VT,Public,Non-football,America East Conference
"University of Maryland, Baltimore County",UMBC,Retrievers,Catonsville[L 25],MD,Public,Non-football,America East Conference
University of Massachusetts Lowell,UMass Lowell,River Hawks,Lowell,MA,Public,Non-football,America East Conference
Wichita State University,Wichita State,Shockers,Wichita,KS,Public,Non-football,American Conference
George Mason University,George Mason,Patriots,Fairfax[L 6],VA,Public,Non-football,Atlantic 10 Conference
La Salle University,La Salle,Explorers,Philadelphia,PA,Private,Non-football,Atlantic 10 Conference
Loyola University Chicago,Loyola Chicago,Ramblers,Chicago,IL,Private,Non-football,Atlantic 10 Conference
Saint Bonaventure University,St. Bonaventure,Bonnies,Saint Bonaventure,NY,Private,Non-football,Atlantic 10 Conference
Saint Joseph's University,Saint Joseph's,Hawks,Philadelphia[L 15],PA,Private,Non-football,Atlantic 10 Conference
Saint Louis University,Saint Louis,Billikens,Saint Louis,MO,Private,Non-football,Atlantic 10 Conference
The George Washington University,George Washington,Revolutionaries,Washington,DC,Private,Non-football,Atlantic 10 Conference
Virginia Commonwealth University,VCU,Rams,Richmond,VA,Public,Non-football,Atlantic 10 Conference
Florida Gulf Coast University,FGCU[N 4],Eagles,Fort Myers[L 4],FL,Public,Non-football,Atlantic Sun Conference
Jacksonville University,Jacksonville,Dolphins,Jacksonville,FL,Private,Non-football,Atlantic Sun Conference
Lipscomb University,Lipscomb,Bisons[ad],Nashville,TN,Private,Non-football,Atlantic Sun Conference
Queens University of Charlotte,Queens (NC),Royals,Charlotte,NC,Private,Non-football,Atlantic Sun Conference
University of North Florida,North Florida,Ospreys,Jacksonville,FL,Public,Non-football,Atlantic Sun Conference
Bellarmine University,Bellarmine,Knights,Louisville,KY,Private,Non-football[FB 2],Atlantic Sun Conference[FB 1]
Creighton University,Creighton,Bluejays,Omaha,NE,Private,Non-football,Big East Conference
DePaul University,DePaul,Blue Demons,Chicago,IL,Private,Non-football,Big East Conference
Marquette University,Marquette,Golden Eagles,Milwaukee,WI,Private,Non-football,Big East Conference
Providence College,Providence,Friars,Providence,RI,Private,Non-football,Big East Conference
